ZZZZZ.THE HAPPY PRINCEZZZZZ.	The Happy Prince	快乐王子	快乐王子	快乐王子	快乐王子	快乐王子	快乐王子
ZZZZZ.from The Happy Prince and Other Tales by Oscar Wilde, 1888ZZZZZ.	The Nightingale and the Rose	〔英〕奥斯卡·王尔德著;巴金译, 1957/1997	夜莺与蔷薇	选自《王尔德童话》〔英〕奥斯卡·王尔德著;王林译, 1996	夜莺与玫瑰	选自《快乐王子》〔英〕奥斯卡·王尔德著;蔡荣寿译, 2012	夜莺与玫瑰
ZZZZZ."She said that she would dance with me if I brought her red roses," cried the young Student; "but in all my garden there is no red rose."ZZZZZ.	The Nightingale and the Rose	“她说过只要我送给她一朵红蔷薇，她就会同我跳舞，”年轻的学生大声说；“可是我的花园里，连一朵红蔷薇也没有。”	夜莺与蔷薇	“她说过只要我送给她一些红玫瑰，她就愿意与我跳舞，”一位年轻的学生大声说道，“可是在我的花园里，连一朵红玫瑰也没有。”	夜莺与玫瑰	“她说只要我送给她红玫瑰，她就愿意与我共舞，”年轻的学生大声说道，“可是在我的花园里，连一朵红玫瑰也没有。”	夜莺与玫瑰
ZZZZZ.From her nest in the holm-oak tree the Nightingale heard him, and she looked out through the leaves, and wondered.ZZZZZ.	The Nightingale and the Rose	夜莺在她的常青橡树上的巢里听见了他的话，她从绿叶丛中向外张望，非常惊讶。	夜莺与蔷薇	这番话给在圣栎树上自己巢中的夜莺听见了，她从绿叶丛中探出头来，四处张望着。	夜莺与玫瑰	在圣栎树上自己巢中的夜莺听见了他这番话，便从绿叶丛中探出头来，四处张望着，颇为吃惊。	夜莺与玫瑰
ZZZZZ."No red rose in all my garden!" he cried, and his beautiful eyes filled with tears.|"Ah, on what little things does happiness depend!|I have read all that the wise men have written, and all the secrets of philosophy are mine, yet for want of a red rose is my life made wretched."ZZZZZ.	The Nightingale and the Rose	“找遍我整个花园都找不到一朵红蔷薇，”他带哭说，他美丽的眼睛里充满了泪水。|“唉，想不到幸福就系在这么细小的事情上面!|我读过了那些聪明人写的东西，一切学问的秘密我都知道了，可是因为少了一朵红蔷薇，我的生活就变成很不幸的了。”	夜莺与蔷薇	“我的花园里哪儿都找不到红玫瑰，”他哭着说，一双美丽的眼睛充满了泪水。|“唉，难道幸福竟依赖于这么细小的东西！|我读过智者们写的所有文章，知识的一切奥秘也都装在我的头脑中，然而就因缺少一朵红玫瑰我却要过痛苦的生活。”	夜莺与玫瑰	“我找遍整个花园都找不到一朵红玫瑰，”他哭着说，他那美丽的眼睛泪水汪汪。|“唉，想不到幸福竟取决于这么细小的东西！|我读过智者们写的所有文章，也算得上博学多才了，然而就因缺少一朵红玫瑰，我的生活将会变得不幸。”	夜莺与玫瑰
ZZZZZ."Here at last is a true lover," said the Nightingale.|"Night after night have I sung of him, though I knew him not: night after night have I told his story to the stars, and now I see him.|His hair is dark as the hyacinth-blossom, and his lips are red as the rose of his desire; but passion has made his face like pale ivory, and sorrow has set her seal upon his brow."ZZZZZ.	The Nightingale and the Rose	“现在到底找到一个忠实的情人了，”夜莺自语道。|“我虽然不认识他，可是我每夜都在歌颂他。我一夜又一夜地把他的故事讲给星星听，现在我亲眼看见他了。|他的头发黑得像盛开的风信子，他的嘴唇就像他想望的蔷薇那样红。可是热情使他的脸变得像一块失色的象牙，忧愁已经印上了他的眉梢。”	夜莺与蔷薇	“这儿总算有一位真正的恋人了，”夜莺对自己说，|“虽然我不认识他，但我会每夜每夜地为他歌唱，我还会每夜每夜地把他的故事讲给星星听。现在我总算看见他了，|他的头发黑得像风信子花，他的嘴唇就像他想要的玫瑰那样红；但是感情的折磨使他脸色苍白如象牙，忧伤的印迹也爬上了他的眉梢。”	夜莺与玫瑰	“我总算发现一位真诚的恋人了，”夜莺自言自语说，|“虽然我不认识他，但我会夜夜为他歌唱，我还会夜复一夜地把他的故事讲给星星听。现在我总算亲眼看见他了，|他的头发黑得像盛开的风信子，他的嘴唇就像他想要的玫瑰那样红；但是他的脸却因为担心得不到爱而苍白如象牙，眉宇之间也布满了忧伤。”	夜莺与玫瑰
ZZZZZ."The Prince gives a ball to-morrow night," murmured the young Student, "and my love will be of the company.|If I bring her a red rose she will dance with me till dawn.|If I bring her a red rose, I shall hold her in my arms, and she will lean her head upon my shoulder, and her hand will be clasped in mine.|But there is no red rose in my garden, so I shall sit lonely, and she will pass me by.|She will have no heed of me, and my heart will break."ZZZZZ.	The Nightingale and the Rose	“王子明晚要开跳舞会，”年轻的学生喃喃说，“我心爱的人要去赴会。|要是我带一朵红蔷薇去送给她，她会同我跳舞到天亮。|要是我送她一朵红蔷薇，我便可以搂着她，让她的头靠在我肩上，她的手捏在我手里。|可是我的园子里并没有红蔷薇，我不得不寂寞地枯坐在那儿，她会走过我面前不理我。|她不理睬我，我的心就要碎了。”	夜莺与蔷薇	“王子明天晚上要开舞会，”年轻学生喃喃自语地说，“我所爱的人将要前往。|假如我送她一朵红玫瑰，她就会同我跳舞到天明；|假如我送她一朵红玫瑰，我就能搂着她的腰，她也会把头靠在我的肩上，她的手将捏在我的手心里。|可是我的花园里却没有红玫瑰，我只能孤零零地坐在那边，看着她从身旁经过。|她不会注意到我，我的心会碎的。”	夜莺与玫瑰	“王子明晚将要举办舞会，我所爱的人也将要前往。”年轻学生喃喃自语地说，|“假如我送她一朵红玫瑰，她就会与我共舞到天明；|假如我送她一朵红玫瑰，我便能搂着她的腰，她会依偎在我的怀抱里，把头靠在我的肩上，把手放在我的手心里。|可是我的花园里却没有红玫瑰，我不得不孤零零地坐在那儿，看着她从身旁经过。|她会走过我面前不理我，我的心要碎的。”	夜莺与玫瑰
ZZZZZ."Here indeed is the true lover," said the Nightingale.|"What I sing of, he suffers: what is joy to me, to him is pain.|Surely Love is a wonderful thing.|It is more precious than emeralds, and dearer than fine opals.|Pearls and pomegranates cannot buy it, nor is it set forth in the market-place.|It may not be purchased of the merchants, nor can it be weighed out in the balance for gold."ZZZZZ.	The Nightingale and the Rose	“这的确是一个忠实的情人，”夜莺说。|“我所歌唱的，正是使他受苦的东西。在我是快乐的东西，在他却成了痛苦。|爱情真是一件了不起的东西。|它比绿宝石更宝贵，比猫眼石更值价。|用珠宝也买不到它。它不是陈列在市场上的，|它不是可以从商人那儿买到的，也不能称轻重拿来换钱。”	夜莺与蔷薇	“这的确是位真正的恋人，”夜莺说，|“我所为之歌唱的正是他遭受的痛苦，我所为之快乐的东西，对他却是痛苦。|爱情真是一件奇妙无比的事情，|它比绿宝石更珍贵，比猫眼石更稀奇。|用珍珠和石榴石都换不来，是市场上买不到的，|是从商人那儿购不来的，更无法用黄金来称出它的重量。”	夜莺与玫瑰	“多么痴情的人呀！”夜莺说，|“我所歌唱的，正是让他遭受痛苦的东西，在我是快乐的东西，在他却成了痛苦。|爱情真是一件奇妙无比的事情，|它比绿宝石更珍贵，比猫眼石更具有值价。|在市场上用珍珠和钻石都换不来，|从商人那儿也购不来，更无法称出它的重量用黄金来等价交换。”	夜莺与玫瑰
ZZZZZ."The musicians will sit in their gallery," said the young Student, "and play upon their stringed instruments, and my love will dance to the sound of the harp and the violin.|She will dance so lightly that her feet will not touch the floor, and the courtiers in their gay dresses will throng round her.|But with me she will not dance, for I have no red rose to give her;" and he flung himself down on the grass, and buried his face in his hands, and wept.ZZZZZ.	The Nightingale and the Rose	“乐师们会坐在他们的廊厢里，”年轻的学生说，“弹奏他们的弦乐器，我心爱的人会跟着竖琴和小提琴的声音跳舞。|她会跳得那么轻快，好像她的脚就没有挨着地板似的，那些穿漂亮衣服的朝臣会团团地围住她。|可是她不会同我跳舞，因为我没有红蔷薇带给她，”于是他扑倒在草地上，双手蒙住脸哭起来。	夜莺与蔷薇	“乐师们会坐在他们的廊厅中，”年轻的学生说，“弹奏起他们的弦乐器。我心爱的人将在竖琴和小提琴的音乐声中翩翩起舞。|她跳得那么轻松欢快，连脚跟都不蹭地板似的。那些身着华丽服装的臣仆们将她围在中间。|然而她就是不会同我跳舞，因为我没有红色的玫瑰献给她。”于是他扑倒在草地上，双手捂着脸放声痛哭起来。	夜莺与玫瑰	“乐师们会坐在他们的廊厢里，弹奏起他们的弦乐器。”年轻的学生说，“我心爱的人将在竖琴和小提琴的音乐声中翩翩起舞。|她跳得那样轻盈，好像连脚跟都不蹭地板似的。那些身着华丽服装的臣仆们将她团团围在中间。|可是她就是不会同我跳舞，因为我没有送她红色玫瑰。”于是他一下扑倒在草地上，双手捂着脸放声痛哭。	夜莺与玫瑰
ZZZZZ."Why is he weeping?" asked a little Green Lizard, as he ran past him with his tail in the air.ZZZZZ.	The Nightingale and the Rose	“他为什么哭？”一条小小的绿蜥蜴竖起尾巴跑过学生面前，这样问道。	夜莺与蔷薇	“他为什么哭呢？”一条绿色的小蜥蜴高高地翘起尾巴从他身旁跑过时，这样问道。	夜莺与玫瑰	“他为什么哭呢？”一条绿色的小蜥蜴问道，他从他身旁跑过时，尾巴翘得高高的。	夜莺与玫瑰
ZZZZZ.THE SELFISH GIANTZZZZZ.	The Selfish Giant	自私的巨人	自私的巨人	自私的巨人	自私的巨人	自私的巨人	自私的巨人
ZZZZZ.from The Happy Prince and Other Tales by Oscar Wilde, 1888ZZZZZ.	The Selfish Giant	选自《巴金译文全集(第六卷)》〔英〕奥斯卡·王尔德著;巴金译, 1957/1997年	自私的巨人	选自《王尔德童话》〔英〕奥斯卡·王尔德著;王林译, 1996	自私的巨人	选自《快乐王子》〔英〕奥斯卡·王尔德著;蔡荣寿译, 2012年	自私的巨人
ZZZZZ.Every afternoon, as they were coming from school, the children used to go and play in the Giant's garden.ZZZZZ.	The Selfish Giant	每天下午，孩子们放学以后，总喜欢到巨人的花园里去玩。	自私的巨人	每天下午，孩子们放学后总喜欢到巨人的花园里去玩耍。	自私的巨人	每天下午放学后，孩子们总喜欢到巨人的花园里去玩耍。	自私的巨人
ZZZZZ.It was a large lovely garden, with soft green grass.|Here and there over the grass stood beautiful flowers like stars, and there were twelve peach-trees that in the spring-time broke out into delicate blossoms of pink and pearl, and in the autumn bore rich fruit.|The birds sat on the trees and sang so sweetly that the children used to stop their games in order to listen to them.|"How happy we are here!" they cried to each other.ZZZZZ.	The Selfish Giant	这是一个可爱的大花园，园里长满了柔嫩的青草。|草丛中到处露出星星似的美丽花朵；还有十二棵桃树，在春天开出淡红色和珍珠色的鲜花，在秋天结着丰富的果子。|小鸟们坐在树枝上唱出悦耳的歌声，它们唱得那么动听，孩子们都停止了游戏来听它们。|“我们在这儿多快乐！”孩子们互相欢叫。	自私的巨人	这是一个很可爱的大花园，长满了绿茸茸的青草，美丽的鲜花随处可见，多得像天上的星星。|草地上还长着十二棵桃树，一到春天就开放出粉扑扑的团团花朵，秋天里则结下累累果实。|栖息在树枝上鸟儿唱着欢乐的曲子，每当这时，嬉戏中的孩子们会停下来侧耳玲听鸟儿的鸣唱，|并相互高声喊着，“我们多么快乐啊！”	自私的巨人	大花园很可爱，里面绿草如茵，美丽的鲜花随处可见，像天上的星星一样点缀着草地。|草地上的十二棵桃树，一到春天就开出淡红色和珍珠色的鲜嫩花朵，到了秋天，累累果实挂满枝头。|树上的鸟儿唱着欢乐的曲子，他们唱得那么动听，嬉戏中的孩子们会停下来专心聆听鸟儿的歌唱，|并相互欢叫着，“我们在这儿多么快乐啊！”	自私的巨人
ZZZZZ.One day the Giant came back.|He had been to visit his friend the Cornish ogre, and had stayed with him for seven years.|After the seven years were over he had said all that he had to say, for his conversation was limited, and he determined to return to his own castle.|When he arrived he saw the children playing in the garden.ZZZZZ.	The Selfish Giant	有一天巨人回来了。|他原先离家去看他的朋友，就是那个康华尔地方的吃人鬼，在那里一住便是七年。|七年过完了，他已经把他要说的话说尽了（因为他谈话的才能是有限的），他便决定回他自己的府邸去。|他到了家，看见小孩们正在花园里玩。	自私的巨人	一天，巨人回来了。|原来他到自己的妖怪朋友科尼西家串门去了，在妖怪家里一住就是七年。|七年的时间里他把要讲的话都讲完了，便决定回自己的城堡。|进了家门，他一眼就看见在花园中戏耍的孩子们。	自私的巨人	有一天，巨人回来了。|此前，他到远方自己的朋友家做客，这个朋友就是那个康华尔地方的吃人鬼，在他家里一住就是七年。|七年的时间里他把要说的话都说完了，便决定回自己的古堡。|刚进家门，他看见在花园中戏耍的孩子们，	自私的巨人
ZZZZZ."What are you doing here?" he cried in a very gruff voice, and the children ran away.ZZZZZ.	The Selfish Giant	“你们在这儿做什么？”他粗暴地叫道，小孩们都跑开了。	自私的巨人	“你们在这儿于什么？”他粗声粗气地吼叫起来，孩子们都跑掉了。	自私的巨人	就大声吼叫起来：“你们在这儿干什么？”孩子们都吓跑了。	自私的巨人
ZZZZZ."My own garden is my own garden," said the Giant; "any one can understand that, and I will allow nobody to play in it but myself."|So he built a high wall all round it, and put up a notice-board.ZZZZZ.	The Selfish Giant	“我自己的花园就是我自己的花园，”巨人说，“这是随便什么人都懂得的，除了我自己以外，我不准任何人在里面玩。”|所以他就在花园的四周筑了一道高墙，挂起一块布告牌来：	自私的巨人	“我的花园就是我自己的花园，”巨人说，“谁都清楚，我不准外人来这里玩。”|于是，他沿着花园筑起一堵高高的围墙，还挂出一块告示：	自私的巨人	“我的花园就是我自己的，”巨人说，“谁都清楚，除我外，不准外人来这里玩。”|于是，他沿着花园筑起一堵高高的围墙，还在门口挂出一则告示：	自私的巨人
ZZZZZ.TRESPASSERS WILL BE PROSECUTEDZZZZZ.	The Selfish Giant	不准擅入 违者重惩	自私的巨人	闲人莫入 违者重罚	自私的巨人	外人莫入，违者重罚。	自私的巨人
ZZZZZ.He was a very selfish Giant.ZZZZZ.	The Selfish Giant	他是一个非常自私的巨人。	自私的巨人	他的确是一个非常自私的巨人。	自私的巨人	他真是一个非常自私的巨人。	自私的巨人
ZZZZZ.The poor children had now nowhere to play.|They tried to play on the road, but the road was very dusty and full of hard stones, and they did not like it.|They used to wander round the high wall when their lessons were over, and talk about the beautiful garden inside.|"How happy we were there!" they said to each other.ZZZZZ.	The Selfish Giant	那些可怜的小孩们现在没有玩的地方了。|他们只好勉强在街上玩，可是街道灰尘多，到处都是坚硬的石子，他们不喜欢这个地方。|他们放学以后常常在高墙外面转来转去，并且谈论墙内的美丽的花园。|“我们从前在那儿多么快活啊”，他们都这样说。	自私的巨人	从此可怜的孩子们没有了玩耍的地方，|他们只得来到马路上，但是街道上满是尘土和硬硬的石块，让他们扫兴极了。|放学后他们仍常常在高耸的围墙外徘徊，谈论着墙内花园中的美丽景色。|“在里面我们多么快乐啊，”他们彼此诉说着。	自私的巨人	那些可怜的孩子们没有了玩耍的地方了，|他们只好来到街上玩，但是街道上满是尘土和坚硬的石块，一点也不好玩。|放学后，他们仍常常在高耸的围墙外转来转去，谈论着墙内那个美丽花园。|“我们从前多么快乐啊，”他们彼此诉说着。	自私的巨人
ZZZZZ.THE DEVOTED FRIENDZZZZZ.	The Devoted Friend	忠实的朋友	忠实的朋友	忠实的朋友	忠实的朋友	忠实的朋友	忠实的朋友
ZZZZZ.from The Happy Prince and Other Tales by Oscar Wilde, 1888ZZZZZ.	The Devoted Friend	选自《巴金译文全集(第六卷)》〔英〕奥斯卡·王尔德著;巴金译, 1957/1997	忠实的朋友	选自《王尔德童话》〔英〕奥斯卡·王尔德著;王林译, 1996	忠实的朋友	选自《快乐王子》〔英〕奥斯卡·王尔德著;蔡荣寿译, 2012年	忠实的朋友
ZZZZZ.One morning the old Water-rat put his head out of his hole.|He had bright beady eyes and stiff grey whiskers and his tail was like a long bit of black india-rubber.|The little ducks were swimming about in the pond, looking just like a lot of yellow canaries, and their mother, who was pure white with real red legs, was trying to teach them how to stand on their heads in the water.ZZZZZ.	The Devoted Friend	有天早晨一只老河鼠从他的洞里伸出头来。|他有明亮的小眼睛和坚硬的灰色颊须，他的尾巴好象是一条长长的黑橡皮。|小鸭们在池塘里游来游去，看起来真像一群黄色的金丝雀，他们的母亲全身纯白，配上一对真正的红腿，她正在教他们怎样在水中倒立。	忠实的朋友	一天早晨，老河鼠从自己的洞中探出头来。|他长着明亮的小眼睛和硬挺的灰色胡须，尾巴长得像一条长长的黑色橡胶。|小鸭子们在池塘里游着水，看上去就像是一大群金丝鸟。他们的母亲浑身纯白如雪，再配上一对赤红的腿，正尽力教他们如何头朝下地在水中倒立。	忠实的朋友	在一个清晨，一只老河鼠从自己的洞中伸出头来。|他长着一双明亮的小眼睛，灰色胡须又硬又挺，尾巴长得像一条长长的黑色弹性橡皮。|小鸭子们在池塘里四处游着水，看上去就像是一大群黄色的金丝雀。他们的母亲一身纯白，再配上一双纯红的腿，正在教他们如何用头在水中倒立。	忠实的朋友
ZZZZZ."You will never be in the best society unless you can stand on your heads," she kept saying to them; and every now and then she showed them how it was done.|But the little ducks paid no attention to her.|They were so young that they did not know what an advantage it is to be in society at all.ZZZZZ.	The Devoted Friend	“你们要是不会倒立，就永不会有跟上等人来往的机会，”她不断地对他们说，并且她时常做给他们看，怎样才可以倒立起来。|可是小鸭们并不注意她。|他们太年轻了，完全不知道跟上等人来往的好处。	忠实的朋友	“除非你们学会倒立，否则你们永远不会进入上流社会，”她老爱这么对他们说，并不停地做给他们看。|但是小鸭子们并未对她的话引起重视。|他们太年轻了，一点也不知道在上流社会的好处是什么。	忠实的朋友	“除非你们能够用你们的头倒立，否则你们就永远无法进入上流社会，”她总是不停地这么对他们说，并且时时刻刻给他们演示如何倒立。|可是小鸭子们并不在意她说的这些话。|他们实在太年轻了，一点都不知道在上流社会有什么好处。	忠实的朋友
ZZZZZ."What disobedient children!" cried the old Water-rat; "they really deserve to be drowned."ZZZZZ.	The Devoted Friend	“多么不听话的孩子！”老河鼠嚷道；“他们实在应当淹死。”	忠实的朋友	“多么顽皮的孩子呀！”老河鼠高声喊道，“他们真该被淹死。”	忠实的朋友	“这些孩子太不听话了！”老河鼠高声喊道，“他们真该被淹死。”	忠实的朋友
ZZZZZ."Nothing of the kind," answered the Duck, "every one must make a beginning, and parents cannot be too patient."ZZZZZ.	The Devoted Friend	“不是的，”母鸭答道，“开头不容易，对谁都是一样，做父母的要有耐心才好。”	忠实的朋友	“不是那么回事，”鸭妈妈回答说，“万事开头难嘛，做父母的要多一点耐心。”	忠实的朋友	“可不是那么回事，”鸭妈妈回答说，“万事开头难嘛，做父母的要多一点耐心才行。”	忠实的朋友
ZZZZZ."Ah!|I know nothing about the feelings of parents," said the Water-rat; "I am not a family man.|In fact, I have never been married, and I never intend to be.|Love is all very well in its way, but friendship is much higher.|Indeed, I know of nothing in the world that is either nobler or rarer than a devoted friendship."ZZZZZ.	The Devoted Friend	“啊！|我一点也不懂做父母的情感，”河鼠说。“我不是个有家室的人。|其实，我从没有结过婚，也决不想结婚。|爱情就它本身来说也很不错，可是友谊却比它高尚得多。|老实说，我不知道在世界上还有什么比忠实的友谊更高贵、更难得的东西。”	忠实的朋友	“啊：|我完全不了解做父母的情感，”河鼠说，“我不是个养家带口的人。|事实上，我从未结过婚，也决不打算结婚。|爱情本身倒是挺好的，但友情比它的价值更高。|说实在的，我不知道在这世上还有什么比忠实的友谊更崇高和更珍贵的了。”	忠实的朋友	“啊！|我完全不理解做父母的感受，”河鼠说，“我是个没有成过家的男人。|实际上，我还从没有结过婚呢，而且也从来没打算过要结婚。|爱情本身倒是挺美好的，但友情比它的价值更高。|说实在的，我不知道在这世上还有什么比忠实的友谊更高贵、更稀罕的了。”	忠实的朋友
ZZZZZ."And what, pray, is your idea of the duties of a devoted friend?" asked a green Linnet, who was sitting in a willow-tree hard by, and had overheard the conversation.ZZZZZ.	The Devoted Friend	“那么请问，你以为一个忠实的朋友究竟有些什么样的义务？”一只绿色梅花雀坐在近旁一棵柳树上面，听见他们的谈话便插嘴问道。	忠实的朋友	“那么，请问，你认为一个忠实的朋友的责任是什么呢？”一只绿色的红雀开口问道，此时他正坐在旁边一视柳树上，偷听到他们的谈话。	忠实的朋友	“那么，请问，你认为一个忠实的朋友的责任应该是什么呢？”一只绿色的朱顶雀开口问道，此时他正坐在旁边一棵柳树上，偷听到他们的谈话。	忠实的朋友
ZZZZZ."Yes, that is just what I want to know," said the Duck; and she swam away to the end of the pond, and stood upon her head, in order to give her children a good example.ZZZZZ.	The Devoted Friend	“对啊，我也就是想知道这一点，”母鸭说，她便游到池子的那一头去，倒立起来，给她的孩子们做一个好榜样。	忠实的朋友	“是啊，这正是我想知道的，”鸭妈妈说。接着她就游到了池塘的另一头，头朝下倒立起来，为的是给孩子们做一个好榜样。	忠实的朋友	“是啊，这正是我想知道的问题，”鸭妈妈说。说完她就游到了池塘的另一头，头朝下倒立起来，为的是给她的孩子们做一个好榜样。	忠实的朋友
ZZZZZ."What a silly question!" cried the Water-rat.|"I should expect my devoted friend to be devoted to me, of course."ZZZZZ.	The Devoted Friend	“你问得多傻！”河鼠大声说。|“自然啊，我希望我的忠实的朋友对我忠实。”	忠实的朋友	“这问题问得多笨！”河鼠吼道，|“当然，我肯定我忠实的朋友对我是忠实的。”	忠实的朋友	“这问题问得多傻啊！”河鼠叫道，|“当然，我希望我忠实的朋友是忠实于我的。”	忠实的朋友
ZZZZZ.THE REMARKABLE ROCKETZZZZZ.	The Remarkable Rocket	了不起的火箭	了不起的火箭	神奇的火箭	神奇的火箭	了不起的火箭烟花	了不起的火箭烟花
